Rank,JobTitle,ProjectedJobs,AvgSalary,Education
1,Software Developer,241500,103620,Bachelor's
2,Dentist,10400,151850,Doctorate
3,Physician Assistant,37000,108610,Master's
4,Orthodontist,500,208000,Doctorate
5,Nurse Practitioner,53300,107030,Master's
6,Statistician,13600,87780,Master's
7,Physician,1600,194500,Doctorate
8,Speech-Language Pathologist,41900,77510,Master's
9,Oral and Maxillofacial Surgeon,400,208000,Doctorate
10,Veterinarian,15600,93830,Doctorate
11,Medical and Health Services Manager,71600,99730,Bachelor's
12,IT Manager,46800,142530,Bachelor's
13,Registered Nurse,371500,71730,Bachelor's
14,Mathematician,800,101900,Master's
15,Physical Therapist,54200,87930,Doctorate
16,Optometrist,4000,111790,Doctorate
17,Anesthesiologist,1500,208000,Doctorate
18,Obstetrician and Gynecologist,500,208000,Doctorate
19,Surgeon,500,208000,Doctorate
20,Operations Research Analyst,28100,83390,Bachelor's
21,Nurse Anesthetist,7600,167950,Master's
22,Pediatrician,700,170560,Doctorate
23,Web Developer,20900,69430,Associate's
24,Dental Hygienist,23700,74820,Associate's
25,Genetic Counselor,800,80370,Master's
26,Physical Therapist Assistant,26700,58040,Associate's
27,Financial Manager,104700,127990,Bachelor's
28,Occupational Therapist,23700,84270,Master's
29,Psychologist,2100,100770,Master's
30,Database Administrator,10500,90070,Bachelor's
31,Financial Advisor,19100,88890,Bachelor's
32,Mechanical Engineer,12800,87370,Bachelor's
33,Civil Engineer,20500,86640,Bachelor's
34,Psychiatrist,4500,208000,Doctorate
35,Substance Abuse and Behavioral Disorder Counselor,68500,44630,Bachelor's
36,School Psychologist,23800,76990,Doctorate
37,Home Health Aide,304800,24200,High School
38,Information Security Analyst,35500,98350,Bachelor's
39,Pilot,7000,115670,Bachelor's
40,Respiratory Therapist,27900,60280,Associate's
41,Diagnostic Medical Sonographer,14200,72510,Associate's
42,Accountant,90700,70500,Bachelor's
43,Market Research Analyst,139200,63120,Bachelor's
44,Business Operations Manager,165000,100930,Bachelor's
45,Marketing Manager,20900,134290,Bachelor's
46,Industrial Psychologist,200,97260,Master's
47,Podiatrist,600,129550,Doctorate
48,Environmental Engineer,2900,87620,Bachelor's
49,Social and Community Service Manager,21900,65320,Bachelor's
50,Lawyer,50100,120910,Doctorate
51,Marriage and Family Therapist,12300,50090,Master's
52,Medical Assistant,154900,33610,Postsecondary non-degree
53,Computer Systems Analyst,56000,88740,Bachelor's
54,Actuary,5000,102880,Bachelor's
55,Medical Records Technician,23100,40350,Postsecondary non-degree
56,Prosthodontist,0,176540,Doctorate
57,Construction Manager,46200,93370,Bachelor's
58,Veterinary Technologist and Technician,21100,34420,Associate's
59,Landscaper and Groundskeeper,106400,29000,Not required
60,Computer Network Architect,8400,109020,Bachelor's
61,Orthotist and Prosthetist,1800,69120,Master's
62,Personal Care Aide,881000,24020,High School
63,Computer Systems Administrator,18200,82050,Bachelor's
64,Massage Therapist,35400,41420,Postsecondary non-degree
65,Cartographer,1700,64430,Bachelor's
66,Dental Assistant,38700,38660,Postsecondary non-degree
67,Management Analyst,118300,83610,Bachelor's
68,Solar Photovoltaic Installer,6100,42680,High School
69,Physical Therapist Aide,11300,26240,High School
70,Occupational Therapy Assistant,14500,60220,Associate's
71,Mental Health Counselor,22300,44840,Master's
72,Environmental Engineering Technician,1500,50560,Associate's
73,Nail Technician,15700,24330,Postsecondary non-degree
74,Plumber,68200,53910,High School
75,Radiologic Technologist,19000,59520,Associate's
76,MRI Technologist,4300,71670,Associate's
77,Chiropractor,3700,71410,Doctorate
78,Cost Estimator,18700,64040,Bachelor's
79,Financial Analyst,20300,85660,Bachelor's
80,Insurance Sales Agent,48300,50600,High School
81,School Counselor,27200,56310,Master's
82,Nurse Midwife,1000,103770,Master's
83,Paralegal,39000,50940,Associate's
84,Phlebotomist,29500,34480,Postsecondary non-degree
85,Loan Officer,24300,63040,Bachelor's
86,Clinical Social Worker,30600,56200,Master's
87,Compliance Officer,18600,68860,Bachelor's
88,Dietitian and Nutritionist,8000,60370,Bachelor's
89,Ophthalmic Medical Technician,8900,36530,Postsecondary non-degree
90,Clinical Laboratory Technician,35100,52330,Bachelor's
91,Licensed Practical and Licensed Vocational Nurse,78100,46240,Postsecondary non-degree
92,Electrician,74100,55190,High School
93,HR Specialist,28900,60870,Bachelor's
94,Wind Turbine Technician,3800,54370,Postsecondary non-degree
95,Logistician,8400,74600,Bachelor's
96,Residential Advisor,13900,27860,High School
97,Optician,5400,37010,High School
98,Computer Support Specialist,83100,53470,High School
99,Esthetician and Skincare Specialist,7800,31290,Postsecondary non-degree
100,Restaurant Cook,299000,26530,Not required
