JobTitle,ProjectedJobs,AvgSalary,Education
Software Engineer,241500,103620,Bachelor's
Dentist,10400,151850,Doctorate
Physician Assistant,37000,108610,Master's
Orthodontist,500,208000,Doctorate
Nurse Practitioner,53300,107030,Master's
Statistician,13600,87780,Master's
Physician,1600,194500,Doctorate
Speech-Language Pathologist,41900,77510,Master's
Oral and Maxillofacial Surgeon,400,208000,Doctorate
Veterinarian,15600,93830,Doctorate
Medical and Health Services Manager,71600,99730,Bachelor's
IT Manager,46800,142530,Bachelor's
Registered Nurse,371500,71730,Bachelor's
Mathematician,800,101900,Master's
Physical Therapist,54200,87930,Doctorate
Optometrist,4000,111790,Doctorate
Anesthesiologist,1500,208000,Doctorate
Obstetrician and Gynecologist,500,208000,Doctorate
Surgeon,500,208000,Doctorate
Operations Research Analyst,28100,83390,Bachelor's
Nurse Anesthetist,7600,167950,Master's
Pediatrician,700,170560,Doctorate
Web Developer,20900,69430,Associate's
Dental Hygienist,23700,74820,Associate's
Genetic Counselor,800,80370,Master's
Physical Therapist Assistant,26700,58040,Associate's
Financial Manager,104700,127990,Bachelor's
Occupational Therapist,23700,84270,Master's
Psychologist,2100,100770,Master's
Database Administrator,10500,90070,Bachelor's
Financial Advisor,19100,88890,Bachelor's
Mechanical Engineer,12800,87370,Bachelor's
Civil Engineer,20500,86640,Bachelor's
Psychiatrist,4500,208000,Doctorate
Substance Abuse and Behavioral Disorder Counselor,68500,44630,Bachelor's
School Psychologist,23800,76990,Doctorate
Home Health Aide,304800,24200,High School
Information Security Analyst,35500,98350,Bachelor's
Pilot,7000,115670,Bachelor's
Respiratory Therapist,27900,60280,Associate's
Diagnostic Medical Sonographer,14200,72510,Associate's
Accountant,90700,70500,Bachelor's
Market Research Analyst,139200,63120,Bachelor's
Business Operations Manager,165000,100930,Bachelor's
Marketing Manager,20900,134290,Bachelor's
Industrial Psychologist,200,97260,Master's
Podiatrist,600,129550,Doctorate
Environmental Engineer,2900,87620,Bachelor's
Social and Community Service Manager,21900,65320,Bachelor's
Lawyer,50100,120910,Doctorate
Marriage and Family Therapist,12300,50090,Master's
Medical Assistant,154900,33610,Postsecondary non-degree
Data Analyst,56000,88740,Bachelor's
Actuary,5000,102880,Bachelor's
Medical Records Technician,23100,40350,Postsecondary non-degree
Prosthodontist,0,176540,Doctorate
Construction Manager,46200,93370,Bachelor's
Veterinary Technologist and Technician,21100,34420,Associate's
Landscaper and Groundskeeper,106400,29000,Not required
Computer Network Architect,8400,109020,Bachelor's
Orthotist and Prosthetist,1800,69120,Master's
Personal Care Aide,881000,24020,High School
Computer Systems Administrator,18200,82050,Bachelor's
Massage Therapist,35400,41420,Postsecondary non-degree
Cartographer,1700,64430,Bachelor's
Dental Assistant,38700,38660,Postsecondary non-degree
Management Analyst,118300,83610,Bachelor's
Solar Photovoltaic Installer,6100,42680,High School
Physical Therapist Aide,11300,26240,High School
Occupational Therapy Assistant,14500,60220,Associate's
Mental Health Counselor,22300,44840,Master's
Environmental Engineering Technician,1500,50560,Associate's
Nail Technician,15700,24330,Postsecondary non-degree
Plumber,68200,53910,High School
Radiologic Technologist,19000,59520,Associate's
MRI Technologist,4300,71670,Associate's
Chiropractor,3700,71410,Doctorate
Cost Estimator,18700,64040,Bachelor's
Financial Analyst,20300,85660,Bachelor's
Insurance Sales Agent,48300,50600,High School
School Counselor,27200,56310,Master's
Nurse Midwife,1000,103770,Master's
Paralegal,39000,50940,Associate's
Phlebotomist,29500,34480,Postsecondary non-degree
Loan Officer,24300,63040,Bachelor's
Clinical Social Worker,30600,56200,Master's
Compliance Officer,18600,68860,Bachelor's
Dietitian and Nutritionist,8000,60370,Bachelor's
Ophthalmic Medical Technician,8900,36530,Postsecondary non-degree
Clinical Laboratory Technician,35100,52330,Bachelor's
Licensed Practical and Licensed Vocational Nurse,78100,46240,Postsecondary non-degree
Electrician,74100,55190,High School
HR Specialist,28900,60870,Bachelor's
Wind Turbine Technician,3800,54370,Postsecondary non-degree
Logistician,8400,74600,Bachelor's
Residential Advisor,13900,27860,High School
Optician,5400,37010,High School
Computer Support Specialist,83100,53470,High School
Esthetician and Skincare Specialist,7800,31290,Postsecondary non-degree
Restaurant Cook,299000,26530,Not required
